id,incident_date,address,city,county,state,number_killed,number_injured,operations,city_or_county
1,2019-03-27,Cliff Creek Crossing Dr,Dallas,NA,Texas,0,1,N/A,Dallas
2,2019-03-22,2800 Katy Hockley Cut Off Rd,Katy,NA,Texas,0,1,N/A,Katy
3,2019-03-18,25000 block of Elmley Place,Spring,NA,Texas,1,0,N/A,Spring
4,2019-03-13,12929 Northwest Fwy,Houston,NA,Texas,1,0,N/A,Houston
5,2019-02-22,1314 Clinton Ave,Fort Worth,NA,Texas,0,1,N/A,Fort Worth
6,2019-02-11,Apple Valley Dr,San Antonio,NA,Texas,0,1,N/A,San Antonio
7,2019-01-27,Kimberly Glen Ln and Postwood Glen Ln,Spring,NA,Texas,1,0,N/A,Spring
8,2019-01-22,16900 block of Jenikay Ln,Houston,NA,Texas,1,0,N/A,Houston
9,2019-01-19,4700 block of Midway Dr,Temple,NA,Texas,2,0,N/A,Temple
10,2019-01-19,2107 Lyndon Creek Ln,Houston,NA,Texas,1,0,N/A,Houston
11,2019-01-19,11600 block of Vinedale Dr,Houston,NA,Texas,1,0,N/A,Houston
12,2019-01-16,4000 W 34th St,Houston,NA,Texas,1,0,N/A,Houston
13,2019-01-13,1400 block of East Power Ave,Victoria,NA,Texas,0,1,N/A,Victoria
14,2019-01-10,N/A,,Montgomery,Texas,0,1,N/A,Montgomery (county)
15,2018-12-15,13000 block of Duncum St,Houston,NA,Texas,1,0,N/A,Houston
16,2018-12-04,4000 block of Wintergreen Dr,Humble,NA,Texas,0,1,N/A,Humble
17,2018-12-04,1800 block of Bickers St,Dallas,NA,Texas,1,0,N/A,Dallas
18,2018-11-18,9600 block of Beckleycrest Ave,Dallas,NA,Texas,1,0,N/A,Dallas
19,2018-11-17,1400 block of Tumbleweed Tr,Roanoke (Northlake),NA,Texas,1,0,N/A,Roanoke (Northlake)
20,2018-10-26,1000 block of County Rd 678,Brazoria,NA,Texas,0,1,N/A,Brazoria
21,2018-10-17,200 block of Roberts St,San Antonio,NA,Texas,1,1,N/A,San Antonio
22,2018-10-07,4849 Haverwood Ln,Dallas,NA,Texas,1,0,N/A,Dallas
23,2018-10-04,Southminster Dr and Ashcroft Dr,Houston,NA,Texas,0,1,N/A,Houston
24,2018-10-04,Southminster Dr,Houston,NA,Texas,0,1,N/A,Houston
25,2018-09-30,5100 block of Mountain Springs Tr,Fort Worth,NA,Texas,0,2,N/A,Fort Worth
26,2018-09-30,6700 block of Atasca Dr,Humble (Atascocita),NA,Texas,1,0,N/A,Humble (Atascocita)
27,2018-09-27,FM 1209,Rusk,NA,Texas,1,0,N/A,Rusk
28,2018-08-24,Schroeder Ave,San Angelo,NA,Texas,0,1,N/A,San Angelo
29,2018-08-13,US-90 and TX-326,Nome,NA,Texas,0,1,N/A,Nome
30,2018-08-10,N/A,San Antonio,NA,Texas,0,1,N/A,San Antonio
31,2018-08-08,2300 block of W Salinas,San Antonio,NA,Texas,0,1,N/A,San Antonio
32,2018-07-31,19435 Ambrosia Falls Dr,Tomball,NA,Texas,0,1,N/A,Tomball
33,2018-07-24,1100 S Loop 336,Conroe,NA,Texas,1,0,N/A,Conroe
34,2018-07-18,CR 418,Premont,NA,Texas,0,1,N/A,Premont
35,2018-07-11,7109 W Loop 1604 N,San Antonio,NA,Texas,0,1,N/A,San Antonio
36,2018-07-10,31700 block of Dunham Lake Dr,Cypress,NA,Texas,0,1,N/A,Cypress
37,2018-07-08,5518 Culebra Rd,San Antonio,NA,Texas,0,1,N/A,San Antonio
38,2018-07-08,8400 block of Knox St,Houston,NA,Texas,1,0,N/A,Houston
39,2018-06-09,N/A,Roby,NA,Texas,0,1,N/A,Roby
