1,Cliff Creek Crossing Dr,Dallas,TX,
2,2800 Katy Hockley Cut Off Rd,Katy,TX,
3,25000 block of Elmley Place,Spring,TX,
4,12929 Northwest Fwy,Houston,TX,
5,1314 Clinton Ave,Fort Worth,TX,
6,Apple Valley Dr,San Antonio,TX,
7,Kimberly Glen Ln and Postwood Glen Ln,Spring,TX,
8,16900 block of Jenikay Ln,Houston,TX,
9,4700 block of Midway Dr,Temple,TX,
10,2107 Lyndon Creek Ln,Houston,TX,
11,11600 block of Vinedale Dr,Houston,TX,
12,4000 W 34th St,Houston,TX,
13,1400 block of East Power Ave,Victoria,TX,
14,N/A,,TX,
15,13000 block of Duncum St,Houston,TX,
16,4000 block of Wintergreen Dr,Humble,TX,
17,1800 block of Bickers St,Dallas,TX,
18,9600 block of Beckleycrest Ave,Dallas,TX,
19,1400 block of Tumbleweed Tr,Roanoke (Northlake),TX,
20,1000 block of County Rd 678,Brazoria,TX,
21,200 block of Roberts St,San Antonio,TX,
22,4849 Haverwood Ln,Dallas,TX,
23,Southminster Dr and Ashcroft Dr,Houston,TX,
24,Southminster Dr,Houston,TX,
25,5100 block of Mountain Springs Tr,Fort Worth,TX,
26,6700 block of Atasca Dr,Humble (Atascocita),TX,
27,FM 1209,Rusk,TX,
28,Schroeder Ave,San Angelo,TX,
29,US-90 and TX-326,Nome,TX,
30,N/A,San Antonio,TX,
31,2300 block of W Salinas,San Antonio,TX,
32,19435 Ambrosia Falls Dr,Tomball,TX,
33,1100 S Loop 336,Conroe,TX,
34,CR 418,Premont,TX,
35,7109 W Loop 1604 N,San Antonio,TX,
36,31700 block of Dunham Lake Dr,Cypress,TX,
37,5518 Culebra Rd,San Antonio,TX,
38,8400 block of Knox St,Houston,TX,
39,N/A,Roby,TX,
40,TX 207 and Franklin St,Borger,TX,
41,10900 block of Telephone Rd,Houston,TX,
42,1100 block of Fairview Dr,Rockwall,TX,
43,N/A,Christine,TX,
44,11300 block of Roszell St,San Antonio,TX,
45,N Dale St,Stephenville,TX,
46,306 S 25th St,Temple,TX,
47,TX 7,Martinsville,TX,
48,1300 block of Loop Rd,Beaumont,TX,
49,2700 block of Waldron Rd,Corpus Christi,TX,
50,7100 block of Dale Rd,El Paso,TX,
51,4721 S Cooper St,Arlington,TX,
52,5010 I-27,Lubbock,TX,
53,Albany Dr,Mabank,TX,
54,N/A,Texarkana,TX,
55,1400 block of W Gulf Bank Rd,Houston,TX,
56,1100 block of W St Francis St,Brownsville,TX,
57,Lynn Cir and 29th St,Texas City,TX,
58,3900 block of Lawnwood St,Fort Worth,TX,
59,8125 Mills Rd,Houston,TX,
60,1000 block of E Walnut St,Hillsboro,TX,
61,1500 block of Wilson,Deer Park,TX,
62,6300 block of Feather Creek Dr,Houston,TX,
63,8000 block of Grow Ln,Houston,TX,
64,N/A,Bulverde,TX,
65,110 Mercedes Street,San Antonio,TX,
66,9000 block of CR 245,Concepcion,TX,
67,2600 block of FM 418,Kountze,TX,
68,5400 block of Wilson Rd,Fort Worth,TX,
69,8000 block of Boone St,Houston,TX,
70,Whitehurst Dr and Skillman St,Dallas,TX,
71,CR 3560,Cleveland (Plum Grove),TX,
72,19000 block of Highland,Tornillo,TX,
73,3700 block of Burning Tree Ln,Garland,TX,
74,5000 block of CR 48,Manvel,TX,
75,Highway 770 North,Saratoga,TX,
76,500 block of Park Grove Dr,San Antonio,TX,
77,3500 block of Parker Rd E,Haltom City,TX,
78,9500 block of Timber Trail,Scurry,TX,
79,10806 Cobblecreek Way,Missouri City,TX,
80,1509 Trigg Ln,Wichita Falls,TX,
81,400 block of E San Antonio St,New Braunfels,TX,
82,6200 block of Big Valley Dr,San Antonio,TX,
83,22900 block of Cielo Vista Dr,San Antonio,TX,
84,4700 block of 6th St,Bacliff,TX,
85,3100 block of Stag Road,Dallas,TX,
86,200 block of Baker,Houston,TX,
87,19900 block of River Brook Dr,Humble (Atascocita),TX,
88,1800 block of Edmund Blvd,San Angelo,TX,
89,1300 block of E Garnett,Gainesville,TX,
90,234 RR 1050,Concan,TX,
91,3134 Mission Gate,San Antonio,TX,
92,600 block of County Rd L,Lamesa,TX,
93,Amos St,Houston,TX,
94,CR 2342,Dayton,TX,
95,13800 block of Northlake Dr,Houston,TX,
96,700 block of E. Harris,San Angelo,TX,
97,9230 Saint Lo,Houston,TX,
98,1601 W 11th Place,Big Spring,TX,
99,N/A,Palestine,TX,
100,800 block of Upton St,San Angelo,TX,
101,2200 block of S Indiana,Brownsville,TX,
102,71st St and Utica Ave,Lubbock,TX,
103,1200 W 8th St,Freeport,TX,
104,21323 Finbury Oaks Lane,Katy,TX,
105,1000 block of Vaky St,Corpus Christi,TX,
106,24100 block of Acanthus,San Antonio,TX,
107,200 block of FM 1534,Whitney,TX,
108,800 block of W Green Ave,Killeen,TX,
109,4002 Corder St,Houston,TX,
