id,incident_date,address,city,county,state,number_killed,number_injured,operations,city_or_county,number,street,city_2,zip,county_2,households_total,households_moe,median_income_total,median_income_moe,accuracy_score,accuracy_type,state_2,latitude,longitude,state_fips,county_fips,place_fips,census_tract_code,census_block_code,census_block_group,full_fips
1,2019-03-27,Cliff Creek Crossing Dr,Dallas,NA,Texas,0,1,N/A,Dallas,NA,Cliff Creek Crossing Dr,Dallas,75237,Dallas County,1444,200,16029,3705,1,street_center,TX,32.653613,-96.871548,48,48113,4819000,010902,3021,3,481130109023021
2,2019-03-22,2800 Katy Hockley Cut Off Rd,Katy,NA,Texas,0,1,N/A,Katy,2800,Katy Hockley Cut Off Rd,Katy,77493,Harris County,2471,309,87804,29465,1,rooftop,TX,29.813781,-95.808131,48,48201,4838476,542900,2012,2,482015429002012
3,2019-03-18,25000 block of Elmley Place,Spring,NA,Texas,1,0,N/A,Spring,NA,NA,Spring,77373,Harris County,NA,NA,NA,NA,0.33,place,TX,30.062169,-95.383966,48,48201,4869596,241101,1013,1,482012411011013
4,2019-03-13,12929 Northwest Fwy,Houston,NA,Texas,1,0,N/A,Houston,12929,Northwest Fwy,Houston,77040,Harris County,666,174,30278,13384,1,rooftop,TX,29.844012,-95.499072,48,48201,4835000,521700,1017,1,482015217001017
5,2019-02-22,1314 Clinton Ave,Fort Worth,NA,Texas,0,1,N/A,Fort Worth,1314,Clinton Ave,Fort Worth,76164,Tarrant County,442,61,34306,11029,1,rooftop,TX,32.776227,-97.348206,48,48439,4827000,100900,2052,2,484391009002052
6,2019-02-11,Apple Valley Dr,San Antonio,NA,Texas,0,1,N/A,San Antonio,NA,Apple Valley Dr,San Antonio,78242,Bexar County,608,94,42643,9568,1,street_center,TX,29.360011,-98.62198,48,48029,4865000,161503,1015,1,480291615031015
7,2019-01-27,Kimberly Glen Ln and Postwood Glen Ln,Spring,NA,Texas,1,0,N/A,Spring,NA,Kimberly Glen Ln,Spring,77373,Harris County,NA,NA,NA,NA,0.91,intersection,TX,30.049115,-95.350667,48,48201,4869596,241102,2003,2,482012411022003
8,2019-01-22,16900 block of Jenikay Ln,Houston,NA,Texas,1,0,N/A,Houston,NA,Belk St,Houston,77087,Harris County,392,87,25469,4498,0.5,street_center,TX,29.694371,-95.313616,48,48201,4835000,332800,1018,1,482013328001018
9,2019-01-19,4700 block of Midway Dr,Temple,NA,Texas,2,0,N/A,Temple,NA,NA,Temple,76501,Bell County,NA,NA,NA,NA,0.33,place,TX,31.068306,-97.3047,48,48027,4872176,020800,1021,1,480270208001021
10,2019-01-19,2107 Lyndon Creek Ln,Houston,NA,Texas,1,0,N/A,Houston,2107,Linden Creek Ln,Houston,77017,Harris County,501,84,64083,17941,1,rooftop,TX,29.678961,-95.233939,48,48201,4835000,321700,2015,2,482013217002015
