"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"March 27, 2019",Texas,Dallas,"Cliff Creek Crossing Dr",0,1,N/A
"March 22, 2019",Texas,Katy,"2800 Katy Hockley Cut Off Rd",0,1,N/A
"March 18, 2019",Texas,Spring,"25000 block of Elmley Place",1,0,N/A
"March 13, 2019",Texas,Houston,"12929 Northwest Fwy",1,0,N/A
"February 22, 2019",Texas,"Fort Worth","1314 Clinton Ave",0,1,N/A
"February 11, 2019",Texas,"San Antonio","Apple Valley Dr",0,1,N/A
"January 27, 2019",Texas,Spring,"Kimberly Glen Ln and Postwood Glen Ln",1,0,N/A
"January 22, 2019",Texas,Houston,"16900 block of Jenikay Ln",1,0,N/A
"January 19, 2019",Texas,Temple,"4700 block of Midway Dr",2,0,N/A
"January 19, 2019",Texas,Houston,"2107 Lyndon Creek Ln",1,0,N/A
"January 19, 2019",Texas,Houston,"11600 block of Vinedale Dr",1,0,N/A
"January 16, 2019",Texas,Houston,"4000 W 34th St",1,0,N/A
"January 13, 2019",Texas,Victoria,"1400 block of East Power Ave",0,1,N/A
"January 10, 2019",Texas,"Montgomery (county)",N/A,0,1,N/A
"December 15, 2018",Texas,Houston,"13000 block of Duncum St",1,0,N/A
"December 4, 2018",Texas,Humble,"4000 block of Wintergreen Dr",0,1,N/A
"December 4, 2018",Texas,Dallas,"1800 block of Bickers St",1,0,N/A
"November 18, 2018",Texas,Dallas,"9600 block of Beckleycrest Ave",1,0,N/A
"November 17, 2018",Texas,"Roanoke (Northlake)","1400 block of Tumbleweed Tr",1,0,N/A
"October 26, 2018",Texas,Brazoria,"1000 block of County Rd 678",0,1,N/A
"October 17, 2018",Texas,"San Antonio","200 block of Roberts St",1,1,N/A
"October 7, 2018",Texas,Dallas,"4849 Haverwood Ln",1,0,N/A
"October 4, 2018",Texas,Houston,"Southminster Dr and Ashcroft Dr",0,1,N/A
"October 4, 2018",Texas,Houston,"Southminster Dr",0,1,N/A
"September 30, 2018",Texas,"Fort Worth","5100 block of Mountain Springs Tr",0,2,N/A
"September 30, 2018",Texas,"Humble (Atascocita)","6700 block of Atasca Dr",1,0,N/A
"September 27, 2018",Texas,Rusk,"FM 1209",1,0,N/A
"August 24, 2018",Texas,"San Angelo","Schroeder Ave",0,1,N/A
"August 13, 2018",Texas,Nome,"US-90 and TX-326",0,1,N/A
